ts,home_id,day,p_cons,p_prod,p_tot
2023-01-13 21:45:00+01:00,CDB005,2023-01-13,566.6607166017805,0.0,566.6607166017805
2023-01-13 22:00:00+01:00,CDB005,2023-01-13,280.2938041349428,0.0,280.2938041349428
2023-01-13 22:15:00+01:00,CDB005,2023-01-13,178.9419641494751,0.0,178.9419641494751
2023-01-13 22:30:00+01:00,CDB005,2023-01-13,207.7088490714014,0.0,207.7088490714014
2023-01-13 22:45:00+01:00,CDB005,2023-01-13,157.2508945465088,0.0,157.2508945465088
2023-01-13 23:00:00+01:00,CDB005,2023-01-13,134.56283143980312,0.0,134.56283143980312
2023-01-13 23:15:00+01:00,CDB005,2023-01-13,125.52410725184849,0.0,125.52410725184849
2023-01-13 23:30:00+01:00,CDB005,2023-01-13,179.48849554821453,0.0,179.48849554821453
2023-01-13 23:45:00+01:00,CDB005,2023-01-13,831.3392858505249,0.0,831.3392858505249
2023-01-14 00:00:00+01:00,CDB005,2023-01-14,978.4168186018952,0.0,978.4168186018952
2023-01-14 00:15:00+01:00,CDB005,2023-01-14,200.9160715511867,0.0,200.9160715511867
2023-01-14 00:30:00+01:00,CDB005,2023-01-14,210.92743298015762,0.0,210.92743298015762
2023-01-14 00:45:00+01:00,CDB005,2023-01-14,200.89999975476945,0.0,200.89999975476945
2023-01-14 01:00:00+01:00,CDB005,2023-01-14,162.56283150731988,0.0,162.56283150731988
2023-01-14 01:15:00+01:00,CDB005,2023-01-14,183.29017816271102,0.0,183.29017816271102
2023-01-14 01:30:00+01:00,CDB005,2023-01-14,299.84336245376454,0.0,299.84336245376454
2023-01-14 01:45:00+01:00,CDB005,2023-01-14,1358.1830398014613,0.0,1358.1830398014613
2023-01-14 02:00:00+01:00,CDB005,2023-01-14,1381.2115074765366,0.0,1381.2115074765366
2023-01-14 02:15:00+01:00,CDB005,2023-01-14,183.4571429661342,0.0,183.4571429661342
2023-01-14 02:30:00+01:00,CDB005,2023-01-14,166.56371638205198,0.0,166.56371638205198
2023-01-14 02:45:00+01:00,CDB005,2023-01-14,210.01428508758545,0.0,210.01428508758545
2023-01-14 03:00:00+01:00,CDB005,2023-01-14,243.8566371951483,0.0,243.8566371951483
2023-01-14 03:15:00+01:00,CDB005,2023-01-14,216.7803565434047,0.0,216.7803565434047
2023-01-14 03:30:00+01:00,CDB005,2023-01-14,165.41681380820486,0.0,165.41681380820486
2023-01-14 03:45:00+01:00,CDB005,2023-01-14,215.49285752432687,0.0,215.49285752432687
2023-01-14 04:00:00+01:00,CDB005,2023-01-14,1130.9982332212735,0.0,1130.9982332212735
2023-01-14 04:15:00+01:00,CDB005,2023-01-14,2745.965166364397,0.0,2745.965166364397
2023-01-14 04:30:00+01:00,CDB005,2023-01-14,2616.0362905316647,0.0,2616.0362905316647
2023-01-14 04:45:00+01:00,CDB005,2023-01-14,2155.072319167001,0.0,2155.072319167001
2023-01-14 05:00:00+01:00,CDB005,2023-01-14,2114.5203649470236,0.0,2114.5203649470236
2023-01-14 05:15:00+01:00,CDB005,2023-01-14,362.9000007765634,0.0,362.9000007765634
2023-01-14 05:30:00+01:00,CDB005,2023-01-14,202.56017796339188,0.0,202.56017796339188
2023-01-14 05:45:00+01:00,CDB005,2023-01-14,204.66339220319475,0.0,204.66339220319475
2023-01-14 06:00:00+01:00,CDB005,2023-01-14,184.45840724168625,0.0,184.45840724168625
2023-01-14 06:15:00+01:00,CDB005,2023-01-14,144.4526788166591,0.0,144.4526788166591
2023-01-14 06:30:00+01:00,CDB005,2023-01-14,117.79469042752696,0.0,117.79469042752696
2023-01-14 06:45:00+01:00,CDB005,2023-01-14,177.01339272090368,0.0,177.01339272090368
